FUNC __main__.calc_pure_python 49.1094 1737984185.4335 91.6875 1737984187.9392 0
FUNC __main__.calculate_z_serial_purepython 127.6094 1737984185.5601 152.6875 1737984187.9264 1
CMDLINE /opt/miniconda3/envs/hpc/bin/python JuliaSet_profiler.py
MEM 0.062500 1737984185.2956
MEM 42.234375 1737984185.4008
MEM 94.250000 1737984185.5060
MEM 139.578125 1737984185.6111
MEM 140.609375 1737984185.7162
MEM 141.218750 1737984185.8213
MEM 141.703125 1737984185.9241
MEM 142.125000 1737984186.0292
MEM 142.515625 1737984186.1344
MEM 142.859375 1737984186.2394
MEM 143.187500 1737984186.3402
MEM 143.515625 1737984186.4452
MEM 143.843750 1737984186.5504
MEM 144.171875 1737984186.6555
MEM 144.500000 1737984186.7598
MEM 144.859375 1737984186.8649
MEM 145.203125 1737984186.9700
MEM 145.531250 1737984187.0751
MEM 145.859375 1737984187.1803
MEM 146.218750 1737984187.2831
MEM 146.546875 1737984187.3882
MEM 146.953125 1737984187.4933
MEM 147.406250 1737984187.5984
MEM 147.953125 1737984187.7036
MEM 148.593750 1737984187.8087
MEM 151.750000 1737984187.9122
