CMDLINE /opt/miniconda3/envs/hpc/bin/python diffusion_profile.py
MEM 0.234375 1738015562.1024
MEM 41.468750 1738015562.2076
MEM 64.156250 1738015562.3127
MEM 81.328125 1738015562.4176
MEM 82.640625 1738015562.5192
MEM 74.843750 1738015562.6207
MEM 77.453125 1738015562.7252
MEM 79.578125 1738015562.8303
MEM 80.468750 1738015562.9354
MEM 85.093750 1738015563.0391
MEM 86.796875 1738015563.1443
MEM 88.703125 1738015563.2494
MEM 88.203125 1738015563.3542
MEM 87.203125 1738015563.4594
MEM 89.203125 1738015563.5609
MEM 88.203125 1738015563.6614
MEM 90.203125 1738015563.7665
MEM 89.812500 1738015563.8716
MEM 91.828125 1738015563.9758
MEM 95.093750 1738015564.0761
MEM 94.328125 1738015564.1803
MEM 96.328125 1738015564.2854
MEM 95.953125 1738015564.3905
MEM 96.953125 1738015564.4924
MEM 96.953125 1738015564.5945
MEM 96.953125 1738015564.6996
MEM 96.953125 1738015564.8008
MEM 96.953125 1738015564.9022
MEM 96.968750 1738015565.0072
MEM 96.968750 1738015565.1091
MEM 96.968750 1738015565.2112
MEM 96.968750 1738015565.3163
MEM 100.093750 1738015565.4186
MEM 100.093750 1738015565.5192
MEM 100.093750 1738015565.6243
MEM 100.093750 1738015565.7258
MEM 100.093750 1738015565.8309
MEM 103.234375 1738015565.9360
MEM 103.234375 1738015566.0411
MEM 103.234375 1738015566.1425
MEM 103.234375 1738015566.2477
MEM 103.234375 1738015566.3519
MEM 103.234375 1738015566.4521
MEM 103.234375 1738015566.5573
MEM 103.234375 1738015566.6624
MEM 103.234375 1738015566.7675
MEM 103.234375 1738015566.8693
MEM 103.234375 1738015566.9744
MEM 103.234375 1738015567.0757
MEM 103.234375 1738015567.1809
MEM 103.234375 1738015567.2860
FUNC __main__.evolve 52.4688 1738015562.2502 68.1719 1738015562.3430 1
FUNC __main__.evolve 68.1719 1738015562.3436 83.8438 1738015562.4360 1
FUNC __main__.evolve 73.8438 1738015562.4375 83.8438 1738015562.5279 1
FUNC __main__.evolve 72.8438 1738015562.5293 83.8438 1738015562.6180 1
FUNC __main__.evolve 74.8438 1738015562.6195 83.8438 1738015562.7087 1
FUNC __main__.evolve 73.8438 1738015562.7103 86.9531 1738015562.8019 1
FUNC __main__.evolve 78.9531 1738015562.8034 86.9531 1738015562.8922 1
FUNC __main__.evolve 77.9531 1738015562.8936 86.9531 1738015562.9826 1
FUNC __main__.evolve 79.9531 1738015562.9842 90.0469 1738015563.0767 1
FUNC __main__.evolve 82.0469 1738015563.0784 90.0469 1738015563.1686 1
FUNC __main__.evolve 84.0469 1738015563.1700 90.0625 1738015563.2593 1
FUNC __main__.evolve 83.0625 1738015563.2608 90.0625 1738015563.3515 1
FUNC __main__.evolve 85.0625 1738015563.3530 93.2031 1738015563.4452 1
FUNC __main__.evolve 87.2031 1738015563.4467 93.2031 1738015563.5384 1
FUNC __main__.evolve 89.2031 1738015563.5398 93.2031 1738015563.6313 1
FUNC __main__.evolve 88.2031 1738015563.6327 93.2031 1738015563.7225 1
FUNC __main__.evolve 90.2031 1738015563.7239 93.2031 1738015563.8132 1
FUNC __main__.evolve 89.2031 1738015563.8145 93.2031 1738015563.9037 1
FUNC __main__.evolve 91.2031 1738015563.9050 93.2031 1738015563.9943 1
FUNC __main__.evolve 90.2031 1738015563.9957 96.3281 1738015564.0855 1
FUNC __main__.evolve 95.3281 1738015564.0869 96.3281 1738015564.1753 1
FUNC __main__.evolve 94.3281 1738015564.1767 96.3281 1738015564.2681 1
FUNC __main__.evolve 96.3281 1738015564.2694 96.9531 1738015564.3580 1
